,Quarter_Year,txt_polarity_basecase,sentence_polarity_basecase,txt_polarity_filtered_length,sentence_polarity_filtered_length,txt_polarity_filtered_lexicon,sentence_polarity_filtered_lexicon
0,Q3_2019,0.12675465261862315,0.11691864161489511,0.11825582059167913,0.12065627852694738,0.18182575050222102,0.13965772593951942
1,Q3_2018,0.11764908980829383,0.09072403249164766,0.1149487855635244,0.09088037605108132,0.14681048839651,0.16538177777883947
2,Q4_2010,0.12957941328654027,0.09628149874623228,0.12680513468013468,0.12053531140691007,0.1345810717060717,0.1483521719592693
3,Q1_2018,0.11005266601011279,0.09159485696021534,0.10453070127801313,0.17776528352861312,0.11290001622828366,0.11120730056115707
4,Q4_2011,0.12147391291835748,0.07799836771662944,0.11589160772293307,0.10568206282625234,0.14101159203490804,0.062253764900435084
5,Q1_2019,0.10508168580730558,0.07708446187247556,0.11427183332540468,0.14059921097505146,0.13265091023475165,0.22606247788432726
6,Q4_2012,0.10443015992131573,0.08129435739965865,0.10197704246108515,0.07002842989066639,0.12866888598873885,0.11216053147804142
7,Q2_2005,0.11144846977916609,0.09345271766218244,0.1094618170983359,0.0896785725912334,0.1456824986390855,0.13700259578095936
8,Q4_2013,0.09279847904415119,0.08659855377233426,0.08711887208745436,0.09734366057420583,0.09690866262910605,0.10805766538169674
9,Q4_2015,0.12148661484795936,0.09540567747430492,0.12465195283915667,0.15342478998239295,0.12998897162619985,0.1838661331554067
10,Q2_2003,0.102120603410926,0.0766685277992332,0.10224171058410188,0.11148862380937666,0.11188259913954358,0.138819503055944
11,Q2_2002,0.05498034154284156,0.04070317650186071,0.06323476831810167,0.1537779046388051,0.07347709551656921,0.12136493907327241
12,Q4_2014,0.10175533972732262,0.08451026283653683,0.1025595988601015,0.09068730662246105,0.11415974515127066,0.09249003169812924
13,Q4_2017,0.12546461576248816,0.10372994001581375,0.12484774569636962,0.15371519050261012,0.1557176966236913,0.18716653527550745
14,Q4_2016,0.1552673715173716,0.13128774354553574,0.15105866709502394,0.13583513650451684,0.18728121810438889,0.16186922543799478
15,Q1_2002,0.09063808432065013,0.07393922965401838,0.09441014944302142,0.20067814705496526,0.10831044021802314,0.21599393338143338
16,Q1_2003,0.1222984511784512,0.09470731012005876,0.13098793692318872,0.15507918294912762,0.1522572951739618,0.23017596099887766
17,Q4_2008,0.1358897275563942,0.10305958264355503,0.13700170115307728,0.11447650568565942,0.1407962824971022,0.09163387318837467
18,Q4_2009,0.16699303924857445,0.1257636842615834,0.16743966736526267,0.13988737708250323,0.17219587929333685,0.18218205680135222
19,Q2_2019,0.13054234729419456,0.1233469855832241,0.12162457747731717,0.1741648263644049,0.15339540414917296,0.1420696912238747
20,Q2_2018,0.11961462444293769,0.09016383376391968,0.12137452721043035,0.13031229403842046,0.14091861989272347,0.12804112512067056
21,Q1_2005,0.15513733658470513,0.12577057707140826,0.16104634969930012,0.09730799474458171,0.1829533846241769,0.09802006594817238
22,Q1_2004,0.16916353655861133,0.13323436021745375,0.17415201798987165,0.12386755735541047,0.21104902042402035,0.17640866050168288
23,Q3_2004,0.15124694039369824,0.1071217490835043,0.15601692023823185,0.15581495983642737,0.1986737287219088,0.12808222563675972
24,Q3_2003,0.08846904356980888,0.07569430246846214,0.08186589612010957,0.10478324271627845,0.07611198770077272,0.10581381685543864
25,Q3_2002,0.03901010837235325,0.030668289639766148,0.024897373421963596,0.034861707841031146,-0.002218226815001008,0.04814194775132276
26,Q3_2012,0.13242311888245625,0.09820224781831924,0.13265278838808245,0.1045719030941501,0.12156418534910156,0.13703765561780268
27,Q3_2013,0.10010929114088296,0.08990188684559604,0.10143415727048598,0.09300186449473496,0.13147518918089784,0.17702741258383442
28,Q3_2010,0.1497983751408409,0.10666615642168364,0.14338545629454724,0.12523273064128826,0.1675421913112268,0.12805363081476753
29,Q3_2011,0.1305656588597766,0.09249750203587304,0.11966429620884174,0.10716660911933842,0.14587469446653115,0.12849650808734078
30,Q3_2017,0.11385583979278671,0.08814193787576037,0.11060270522750715,0.12783642921900273,0.1346928023275426,0.15704257420783962
31,Q3_2016,0.15990993285264132,0.14498313643676217,0.16601676713809077,0.18523608405872882,0.18965903000318604,0.1935150413680687
32,Q3_2015,0.10578789225289997,0.09471052379500541,0.10577110139089299,0.10532158604184871,0.14381583418280658,0.20348173366613806
33,Q3_2014,0.10262317052392068,0.09264485643896701,0.1048042086870797,0.10625900822695133,0.11620266656034733,0.11405673970505427
34,Q2_2008,0.09916849500293948,0.07962207205802885,0.09680753739206129,0.1104379620251274,0.11294941439358921,0.0681668099567615
35,Q1_2016,0.13107085215914396,0.10498805793828943,0.12206936936487257,0.13581615704946162,0.1543129534175161,0.15472315373766693
36,Q2_2009,0.10114781841772295,0.0874060680417077,0.10205939445360392,0.11382583731053993,0.11242456872091708,0.14258399739922406
37,Q1_2020,0.15471490188643472,0.11271045844321707,0.15459610389610387,0.14841947563750219,0.1392623142623143,0.12879462558717875
38,Q1_2017,0.13121205792258425,0.12653612672253023,0.12473794894301811,0.11400129136582862,0.1322176784199685,0.14903467428755804
39,Q1_2014,0.11064027393846683,0.09727242698977416,0.10829134829672088,0.1264057623653838,0.12737311357623865,0.15236820844845655
40,Q1_2015,0.09237440962071966,0.0865835757272765,0.0907994695764834,0.07626220761301163,0.11829437571921754,0.13931507169265572
41,Q1_2013,0.08334408993783991,0.06294411749219442,0.08589016489988219,0.09740089414435692,0.12938385509814082,0.0999202502208491
42,Q1_2012,0.10377813098631908,0.07184380439565416,0.1032707734377581,0.08644451234860846,0.1343253823953824,0.11385364093890558
43,Q4_2019,0.14934531761097894,0.1351902651392447,0.13069389505373338,0.21260034023715685,0.1807783239986629,0.23973178795227407
44,Q1_2011,0.1500925531663237,0.11626203262814802,0.14432883743381963,0.11087847924816245,0.21130425034070865,0.21003430170047818
45,Q4_2018,0.13430064427840618,0.11057136518879905,0.1293981602289176,0.1379970705320062,0.15766171148943176,0.16405541914892766
46,Q1_2010,0.11713004462325129,0.08662827318599135,0.10801669635002979,0.09105893549892577,0.12391361442727244,0.1475998565961589
47,Q2_2012,0.1157682553869352,0.08543360700269913,0.12151742296209933,0.10764512875324919,0.14206946544703394,0.13827226440918577
48,Q4_2004,0.16168214354757401,0.13613815651188618,0.16625908461411812,0.10003928877602665,0.21006280965084573,0.11664884605900808
49,Q4_2005,0.1273249500434816,0.09190705977757871,0.13205749120825466,0.09985738113146335,0.145025232028073,0.11986370186051414
50,Q2_2013,0.11683561372872978,0.0819034535876073,0.11590607668193892,0.09994533982826918,0.14381802241685968,0.182409316286537
51,Q2_2010,0.10763218986935372,0.0905262298949691,0.11057618777538568,0.09086507429409658,0.1437384723861997,0.08056591877232634
52,Q2_2011,0.13209486412365995,0.09958560023931047,0.12569640062597812,0.12831299225279236,0.1386195636700121,0.14697302294633643
53,Q1_2009,0.112826025368261,0.10603267315945512,0.10564623066445508,0.13306813081036412,0.12642108669108673,0.15512805413851616
54,Q2_2017,0.1180350093712162,0.08688392833502598,0.1164098035570428,0.10204061940495969,0.1464129525777253,0.19103928765453296
55,Q2_2016,0.12916301821899995,0.1133234150428851,0.12577737574752512,0.16324073404998662,0.14484164070612662,0.18352855696198825
56,Q2_2015,0.1073056933295627,0.10017507526766785,0.10621224660663171,0.10680592111448366,0.11906366887863604,0.08698540724064341
57,Q4_2003,0.07644473943302067,0.05857904056730798,0.07370585932375705,0.08044002585946108,0.07998928824586718,0.10596004800975041
58,Q4_2002,0.06665184154469862,0.05789181201246419,0.05121739171575233,0.12920756866471605,0.05911033897876,0.04839964920137334
59,Q2_2014,0.10615181442444718,0.09494320980926309,0.10653357224785806,0.10118680480933903,0.12458300589169154,0.09637505826193583
60,Q3_2008,0.14589074783746925,0.11232206270292208,0.14141544470301706,0.12608988629149848,0.14997810618500274,0.09644980521337353
61,Q3_2009,0.09979201813485543,0.08042377796988417,0.1000747157675409,0.08405697663849862,0.12433859398422513,0.08867466411094559
